room_types,room_price,room_number
트윈,55000,50187
ONE.Bed(침대1/2인),,50188
NetFlix.Bed Room,,50188
TWO.Bed(침대2/2인),,50188
Single(1인전용),,50188
침대일반실,20000,50189
별관 트윈실,40000,50189
별관 일반실,40000,50189
케어룸,25000,50189
침대트윈실,25000,50189
별관 쓰리베드,60000,50189
온돌,25000,50190
일반A,25000,50190
일반B,25000,50190
스탠다드,30000,50191
Lovely,80000,50192
Peace,80000,50192
Special,80000,50192
Sweet,80000,50192
Dream,100000,50192
Forever,230000,50192
오늘의특가,20000,50196
스탠다드(도보전용),20000,50196
스탠다드,20000,50196
디럭스,25000,50196
디럭스 트윈,25000,50196
시네마트윈,50000,50196
스탠다드(페이백),,50196
102호,,50200
202호,,50200
203호,,50200
101호,150000,50200
103호,150000,50200
201호,150000,50200
303호,150000,50200
104호,170000,50200
105호,170000,50200
304호,170000,50200
501호,230000,50200
701호,230000,50200
702호,230000,50200
401호,450000,50200
801호,550000,50200
902호,550000,50200
바다3층,200000,50202
바다2층,230000,50202
일반,20000,50204
트윈 특실,30000,50204
한실 온돌,20000,50204
203호 stream,,50206
101호 river,139000,50206
201호 lake,139000,50206
프리미엄(스파),30000,50207
프리미엄 1실1주차(스파),30000,50207
VIP(스타일러),40000,50207
VIP 1실1주차(가족탕/스타일러),40000,50207
VIP 트윈(스타일러),50000,50207
디럭스,25000,50207
디럭스(1실1주차),30000,50207
타임특가,25000,50207
VIP 트윈(스타일러+안마의자),50000,50207
스위트(이벤트/당구룸),50000,50207
스위트 1실1주차(이벤트/당구룸/스타일러 ),50000,50207
VIP(제트스파),50000,50207
"나홀로비즈니스_전객실금연,디럭스기준",,50209
낮잠잘래?(평일12시~20시퇴실),,50209
미드나잇,,50209
카라반 로얄스위트,,50209
디럭스_전객실금연,30000,50209
잠꾸러기_전객실금연,89000,50209
스위트 더블_전객실금연,50000,50209
패밀리 스위트_전객실금연,179000,50209
디럭스(빠른입실/15시입실)_전객실금연,115000,50209
스위트 트윈_전객실금연,120000,50209
카라반 스위트,270000,50209
프리미엄스위트(Twin)_전객실금연,290000,50209
로얄스위트(Twin)_전객실금연,350000,50209
온돌,20000,50211
일반,20000,50211
트윈,20000,50211
특실,20000,50211
가족실,50000,50211
402호,,50212
403호,,50212
405호,,50212
205호,,50212
202호,130000,50212
203호,130000,50212
305호,130000,50212
201호,300000,50212
301호,300000,50212
401호,300000,50212
501호,300000,50212
 , ,50213
일반,20000,50214
케로로,100000,50216
기로로,100000,50216
도로로,100000,50216
쿠루루,100000,50216
타마마,100000,50216
미니룸,18000,50217
배그PC전용_일반(넷플릭스),20000,50217
미니(무한대실),25000,50217
"준특실(배그PC,스타일러,공기청정기,제습기,넷플릭스)",25000,50217
배그PC일반(무한대실),30000,50217
"트윈(배그PC,스타일러,공기청정기,제습기,넷플릭스)",18000,50217
커플배그PC전용_일반(넷플릭스),25000,50217
"특실(배그PC,팬텀안마,스타일러,공기청정기,제습기,넷플릭스)",30000,50217
 , ,50218
해안301,120000,50219
해안302,120000,50219
해안303,120000,50219
해안401,120000,50219
해안402,120000,50219
해안403,120000,50219
해안101,250000,50219
해안201,300000,50219
바다301,120000,50220
바다302,120000,50220
바다303,120000,50220
바다401,120000,50220
바다402,120000,50220
바다403,120000,50220
바다101,250000,50220
바다102,250000,50220
바다103,250000,50220
스탠다드A,20000,50221
스탠다드B,30000,50221
디럭스A,30000,50221
디럭스B,30000,50221
트윈 A,40000,50221
도미토리,40000,50221
한실,40000,50221
트윈 B,40000,50221
로얄스위트,45000,50221
풀빌라,90000,50221
3시간 대실 특가(넷플/객실 랜덤배정),,50222
8시간 무한대실(넷플/디럭스 배정),,50222
낮숙박(예약문자와 무관하게 당일로 이용시간 제한),,50222
24시 STAY(넷플/15-15/24시간호캉스이벤트),,50222
레이트 체크아웃(15시 Late check-out),,50222
Deluxe Double(넷플릭스),50000,50222
"Deluxe Double(레이트체크아웃,넷플릭스)",60000,50222
"Deluxe Double(half ocean-middle,넷플릭스)",80000,50222
"Deluxe Double(half ocean,넷플릭스)",80000,50222
Family Twin(넷플릭스),100000,50222
"Suite(ocean,넷플릭스)",200000,50222
Standard (페이백),40000,50233
Standard,20000,50233
일반실,57000,50237
디럭스,62000,50237
특실,72000,50237
트윈,72000,50237
패밀리룸,180000,50237
 , ,50239
일반,15000,50240
특실,40000,50240
일반 (페이백),,50240
일반(2인기준),20000,50242
트윈(2인기준),60000,50242
잠꾸러기 일반실(퇴실16시),70000,50242
"특실(넷플릭스+스타일러룸,2인기준)",30000,50242
잠꾸러기 특실(퇴실16시),80000,50242
201호,119000,50243
203호,119000,50243
디럭스,25000,50245
웨스트단독독채,220000,50247
거울공주,,50248
B-201호/침실분리형(개별테라스),,50249
A-103호(오션뷰),127200,50249
 , ,50250
 , ,50251
 , ,50253
온돌,,50255
일반,20000,50255
특실,25000,50255
소형실 (온돌),50000,50256
중형실 3호,80000,50256
중형실 6호,80000,50256
중형실 7호,80000,50256
통나무 독채별실2호,80000,50256
통나무 독채별실3호,80000,50256
통나무 독채별실5호,80000,50256
통나무 독채별실 1호,80000,50256
대형실,200000,50256
302호 (오션뷰/침대),110000,50257
303호 (오션뷰/침대),110000,50257
402호 (오션뷰/침대),110000,50257
101호 (오션뷰/침대),110000,50257
102호 (오션뷰/온돌),200000,50257
작은방,30000,50258
양실(큰방),40000,50258
한실(큰방),40000,50258
2층 독채형 1,340000,50259
2층 독채형 2,340000,50259
스탠다드,20000,50261
야간대실,30000,50263
"오늘의 특가방(wifi,전객실 랜덤배정)",20000,50263
"영화보기좋은방3(65인치커브드,NETFLIX)",20000,50263
"일반실(no pc,wifi, 65인치 커브드)",20000,50263
"영화보기좋은방2(65인치커브드,NETFLIX)",20000,50263
준특실(wifi),20000,50263
"커플피씨룸(롤,65인치 커브드,넷플릭스)",45000,50263
"VIP(커플PC,배그)",30000,50263
"영화보기좋은방1(65인치커브드,NETFLIX)",20000,50263
현장결제(오후무한숙박),,50264
일반,20000,50264
미니 온돌,20000,50264
현장결제(오전무한숙박),50000,50264
가람,80000,50267
마루,90000,50267
아람,100000,50267
해오름2,250000,50267
 , ,50269
소낭(15평 독채),60000,50272
매듭달,,50277
푸른달,,50277
노을바다,120000,50278
별빛바다,240000,50278
해송낙원,240000,50278
노을이야기,320000,50278
바다여행,320000,50278
가족여행,450000,50278
 , ,50280
 , ,50283
 , ,50285
 , ,50286
일반,15000,50288
준특실(스타일러),15000,50288
특실(스타일러+안마의자),20000,50288
 , ,50289
 , ,50291
여 름,50000,50293
솔  ,50000,50293
겨 울,70000,50293
봄  ,70000,50293
해  ,90000,50293
별  ,90000,50293
달  ,90000,50293
구 름,90000,50293
바 람,90000,50293
하 늘,120000,50293
구 들,120000,50293
도보전용룸,65000,50298
스탠다드,30000,50298
넷플릭스룸,40000,50298
디럭스,40000,50298
"트윈(2인,금연)",80000,50298
패밀리룸,170000,50298
슈페리어 더블,200000,50299
온돌(2인),,50307
침대C(랜덤객실),,50307
침대E(랜덤객실),,50307
침대D(랜덤객실),,50307
침대G(랜덤객실),,50307
온돌(3인),,50307
대실(ABCDEG랜덤),20000,50307
침대A (랜덤객실),20000,50307
침대B(랜덤객실),35000,50307
일반(온돌),20000,50309
일반(침대),20000,50309
고급실,25000,50309
고급실 (페이백),50000,50309
