room_types,room_price,room_number
일반,20000,50515
일반,30000,50518
준특실,30000,50518
특실,40000,50518
트윈,22000,50520
특실,30000,50520
더블,22000,50520
VIP,40000,50520
 , ,50521
디럭스 더블,65000,50524
디럭스 트윈,65000,50524
디럭스 시티뷰,70000,50524
스위트,80000,50524
 , ,50525
 , ,50527
스탠다드 더블,60000,50529
클린 에어 스탠다드,70000,50529
디럭스 트윈,80000,50529
패밀리 트윈,100000,50529
12평형(침대),120000,50531
일반(대실),20000,50536
무한대실(9시간),30000,50536
일반(숙박),45000,50536
일반,40000,50538
특실 (페이백),50000,50538
특실,50000,50538
 , ,50539
트윈,,50540
일반 (페이백),45000,50540
일반,,50540
특실,,50540
 , ,50541
 , ,50542
 , ,50543
301호(클리어),250000,50544
302호(가넷),250000,50544
일반 (페이백),35000,50545
일반,35000,50545
온돌,35000,50545
옥탑방(온돌),100000,50546
온돌방,100000,50546
일반실(오션뷰),30000,50546
준특실(오션뷰),30000,50546
특실(오션뷰/트윈),45000,50546
일반B,25000,50550
한실,60000,50550
일반A,30000,50550
일반C,60000,50550
트윈,60000,50550
가족 더블,120000,50550
가족 트윈,140000,50550
2인 호수 테라스 (3층),90000,50551
2인 호수 테라스 (2층),55000,50551
2인 스탠다드,60000,50551
2인 바다,60000,50551
2인 바다테라스,70000,50551
4인 디럭스 더블 트윈 (호수),100000,50551
4인 스위트 더블 트윈 (바다),120000,50551
트윈 온돌,,50552
디럭스A(1객실1주차),30000,50552
디럭스B(1객실1주차),30000,50552
디럭스C(1객실1주차),30000,50552
디럭스D(1객실1주차),30000,50552
디럭스E(1객실1주차),30000,50552
스탠다드,30000,50552
온돌(3인기준),70000,50552
피에스타,99000,50553
 , ,50555
화이트,,50556
그린,,50556
퍼플,,50556
블루,150000,50556
머큐리,350000,50556
비너스,350000,50556
쥬피터,350000,50556
우라노스,350000,50556
남성 6인 도미토리,24000,50563
여성 6인 도미토리,24000,50563
여성 4인 도미토리,28000,50563
남성 4인 도미토리,28000,50563
" 2인(커플,가족) 도미토리",75000,50563
무한대실(일반실),25000,50568
무한대실(배그2PC),30000,50568
일반룸,15000,50568
배틀그라운드 1PC,17000,50568
배틀그라운드 2PC,20000,50568
트윈룸(더블2+싱글1),50000,50568
 , ,50572
일반(침대),20000,50574
일반(온돌),20000,50574
일반 (페이백),40000,50576
일반,40000,50576
 , ,50577
 , ,50579
낮숙박(23시 퇴실기준),50000,50586
무한대실(VIP),40000,50586
무한대실(디럭스),35000,50586
무한대실(스탠다드),20000,50586
스탠다드,20000,50586
레이트체크인,40000,50586
디럭스,25000,50586
금연객실(디럭스),25000,50586
NETFLIX ROOM,25000,50586
VIP(스타일러),30000,50586
트윈,30000,50586
펜트하우스,200000,50586
디럭스 (페이백),,50586
 , ,50588
102호 능쟁이,100000,50596
103호 황발이,130000,50596
201호 똘쟁이,130000,50596
101호 박하지,170000,50596
Standard,20000,50599
Deluxe,25000,50599
VIP트윈,30000,50599
VIP더블,30000,50599
Standard(Full Day),50000,50599
가족실(4인기준),50000,50599
쟈스민(커플룸),85000,50609
일반,35000,50611
한실,35000,50611
특실,40000,50611
트윈,35000,50611
3A,,50620
 , ,50623
프리미엄(트윈),30000,50629
스탠다드,20000,50629
디럭스,25000,50629
애견동반룸-디럭스,25000,50629
프리미엄(패밀리 룸),145000,50629
디럭스 (페이백),,50629
Standard(스타일러),30000,50630
Standard,30000,50630
특실 A,140000,50630
VIP,160000,50630
 , ,50632
 , ,50633
남성 4인 도미토리,20000,50634
여성 4인 도미토리,20000,50634
스탠다드더블,55000,50634
스탠다드 트윈,55000,50634
슈페리어 트윈,65000,50634
디럭스 트리플,65000,50634
일반,18000,50636
준특실,20000,50636
패밀리 룸 4(2층침대),60000,50647
커플 룸 1,60000,50647
커플 룸 2,60000,50647
커플 룸 3,60000,50647
패밀리 룸 1,70000,50647
패밀리 룸 2,70000,50647
패밀리 룸 3,70000,50647
패밀리 룸 5(2층침대),75000,50647
패밀리 룸 6(2층침대),90000,50647
더블A [2인/3인] ,40000,50650
더블B [2인/3인] ,40000,50650
더블C [2인/3인],45000,50650
더블D [2인/3인] ,45000,50650
트윈A [2인/2인] ,45000,50650
트윈C [2인/2인] ,45000,50650
트윈D [2인/3인] ,45000,50650
트리플C [2인/3인],50000,50650
트윈B [2인/2인] ,50000,50650
트리플A [2인/3인] ,50000,50650
트리플B [2인/3인] ,55000,50650
 쿼드룸 [3인/4인],70000,50650
[4인 단독/혼성] 패밀리벙커,85000,50650
일반(미니),20000,50654
일반,20000,50654
온돌,50000,50654
트윈,60000,50654
 , ,50656
 , ,50657
일반,20000,50658
특실,25000,50658
무한대실(드라이브인),35000,50660
프리미엄 스페셜1(드라이브인),30000,50660
프리미엄 스위트 A,45000,50660
일반(드라이브인),25000,50660
한실,60000,50660
특실 트윈(기준 인원 2인/최대3인),60000,50660
프리미엄 스페셜(드라이브인),30000,50660
패밀리 프리미엄(최대인원 3인),70000,50660
프리미엄 스위트 B,50000,50660
프리미엄 스페셜,30000,50660
일반,25000,50661
특실,25000,50661
스탠다드 트윈,20000,50663
스탠다드 더블,20000,50663
디럭스 더블,25000,50663
디럭스 트윈,25000,50663
트리플,40000,50663
온돌방,130000,50663
로얄 트윈,30000,50663
로얄 패밀리C,90000,50663
로얄 패밀리A,60000,50663
로얄 패밀리B,60000,50663
일반,30000,50667
온돌,40000,50667
특실(트윈),60000,50667
VIP실,70000,50667
온돌 큰방(4인기준),70000,50667
일반 (페이백),,50667
특실(트윈) (페이백),,50667
일반,20000,50673
스탠다드,30000,50679
프리미엄B,35000,50679
"프리미엄A(투베드,3인)",35000,50679
 , ,50686
 , ,50687
 , ,50688
 , ,50689
스탠다드 더블,60000,50693
스탠다드 트윈,60000,50693
디럭스 트윈,70000,50693
105,100000,50694
205,100000,50694
305,100000,50694
405,100000,50694
104,160000,50694
204,160000,50694
304,160000,50694
404,160000,50694
206,220000,50694
306,220000,50694
406,220000,50694
101,240000,50694
102,240000,50694
103,240000,50694
201,240000,50694
202,240000,50694
203,240000,50694
301,240000,50694
302,240000,50694
303,240000,50694
401,240000,50694
402,240000,50694
403,240000,50694
일반,20000,50697
준특실,20000,50697
특실,20000,50697
 , ,50699
